shipment_id,supplier,product,country,shipment_mode,scheduled_delivery_date,predicted_severe_delay_probability,risk_rank,review_flag,total_value_usd,top_prediction_contributors
ASN-23139,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Vietnam,Air,2014-01-06,0.0,989,0,245287.06,Not computed
ASN-23208,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Vietnam,Air,2014-01-07,0.0,990,0,47239.85,Not computed
ASN-23174,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Vietnam,Air,2014-01-08,0.0,991,0,45060.15,Not computed
ASN-23182,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Vietnam,Air,2014-01-08,0.0,992,0,437234.88,Not computed
ASN-23215,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Vietnam,Air,2014-01-09,0.0,993,0,74871.0,Not computed
ASN-23661,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Ethiopia,Air,2014-01-14,0.0,994,0,352.0,Not computed
ASN-23076,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Uganda,Air,2014-01-15,0.0,995,0,120000.0,Not computed
ASN-23668,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Vietnam,Air,2014-01-21,0.0,996,0,37315.08,Not computed
ASN-23622,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Vietnam,Air,2014-01-22,0.0,997,0,216773.7,Not computed
ASN-23667,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Vietnam,Air,2014-01-22,0.0,998,0,3184.92,Not computed
ASN-24026,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs",Uganda,Air,2014-01-22,0.0,999,0,110820.35,Not computed
ASN-22712,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Haiti,Air,2014-01-24,0.0,1000,0,178100.0,Not computed
ASN-22749,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",South Sudan,Air,2014-01-24,0.0,1001,0,32870.0,Not computed
ASN-23812,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Côte d'Ivoire,Air,2014-01-24,0.0,1002,0,10478.8,Not computed
ASN-23213,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir 300mg, tablets, 60 Tabs",Tanzania,Air,2014-01-28,0.0,1003,0,223800.0,Not computed
ASN-23656,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir/Lamivudine 600/300mg, tablets, 30 Tabs",Rwanda,Air,2014-01-31,0.0,1004,0,549110.45,Not computed
ASN-23834,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Côte d'Ivoire,Air,2014-01-31,0.0,1005,0,55100.0,Not computed
ASN-23979,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Côte d'Ivoire,Air,2014-01-31,0.0,1006,0,49200.0,Not computed
ASN-24162,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Nigeria,Air,2014-02-06,0.0,1007,0,111584.0,Not computed
ASN-24415,S. BUYS WHOLESALER,"Nevirapine 200mg, tablets, 60 Tabs",South Africa,Truck,2014-02-06,0.0,1008,0,278842.32,Not computed
ASN-23390,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Zambia,Air,2014-02-07,0.0,1009,0,79176.58,Not computed
ASN-23970,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Côte d'Ivoire,Air,2014-02-07,0.0,1010,0,16642.8,Not computed
ASN-22955,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",South Sudan,Air,2014-02-11,0.0,1011,0,16896.0,Not computed
ASN-23739,CIPLA LIMITED,"Abacavir 60mg, dispersible tablets, 60 Tabs",Nigeria,Air,2014-02-11,0.0,1012,0,36625.0,Not computed
ASN-23851,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Haiti,Air,2014-02-12,0.0,1013,0,943.5,Not computed
ASN-23686,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Zambia,Air,2014-02-14,0.0,1014,0,1722000.0,Not computed
ASN-24256,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Zidovudine 300mg, tablets, 60 Tabs",Zambia,Air,2014-02-14,0.0,1015,0,40040.0,Not computed
ASN-24273,ASPEN PHARMACARE,"Darunavir 300mg [Prezista], tablets, 120 Tabs",Uganda,Air,2014-02-14,0.0,1016,0,30236.4,Not computed
